Date,Open,High,Low,Close*,Adj Close**,Volume
16-Aug-21,"35,490.83","35,631.19","35,231.87","35,625.40","35,625.40","292,590,000"
17-Aug-21,"35,500.01","35,500.01","35,120.31","35,343.28","35,343.28","309,410,000"
18-Aug-21,"35,310.20","35,356.80","34,943.41","34,960.69","34,960.69","289,800,000"
19-Aug-21,"34,874.67","34,997.81","34,690.25","34,894.12","34,894.12","333,550,000"
20-Aug-21,"34,917.96","35,177.26","34,867.07","35,120.08","35,120.08","269,320,000"
23-Aug-21,"35,160.97","35,428.91","35,160.97","35,335.71","35,335.71","245,760,000"
24-Aug-21,"35,382.72","35,445.47","35,356.18","35,366.26","35,366.26","228,710,000"
25-Aug-21,"35,388.77","35,501.14","35,287.63","35,405.50","35,405.50","237,230,000"
26-Aug-21,"35,449.68","35,498.45","35,205.10","35,213.12","35,213.12","239,740,000"
27-Aug-21,"35,231.11","35,479.18","35,231.11","35,455.80","35,455.80","240,990,000"
30-Aug-21,"35,471.80","35,510.71","35,374.46","35,399.84","35,399.84","245,390,000"
31-Aug-21,"35,391.38","35,449.79","35,289.86","35,360.73","35,360.73","337,240,000"
1-Sep-21,"35,387.55","35,407.37","35,287.05","35,312.53","35,312.53","265,520,000"
2-Sep-21,"35,353.06","35,475.40","35,348.48","35,443.82","35,443.82","263,370,000"
3-Sep-21,"35,401.73","35,422.71","35,269.40","35,369.09","35,369.09","221,370,000"
7-Sep-21,"35,373.24","35,373.24","35,060.90","35,100.00","35,100.00","289,830,000"
8-Sep-21,"35,087.45","35,175.15","34,925.61","35,031.07","35,031.07","261,880,000"
9-Sep-21,"35,013.08","35,199.89","34,847.30","34,879.38","34,879.38","261,330,000"
10-Sep-21,"34,949.59","35,104.25","34,599.61","34,607.72","34,607.72","333,230,000"
13-Sep-21,"34,665.50","34,939.10","34,665.50","34,869.63","34,869.63","334,190,000"
14-Sep-21,"34,906.90","34,990.36","34,510.30","34,577.57","34,577.57","325,140,000"
15-Sep-21,"34,580.95","34,880.77","34,522.03","34,814.39","34,814.39","317,490,000"
16-Sep-21,"34,810.27","34,943.55","34,540.11","34,751.32","34,751.32","278,270,000"
17-Sep-21,"34,737.86","34,779.86","34,519.63","34,584.88","34,584.88","560,630,000"
20-Sep-21,"34,459.72","34,459.72","33,613.03","33,970.47","33,970.47","435,780,000"
21-Sep-21,"34,025.61","34,313.88","33,914.02","33,919.84","33,919.84","306,970,000"
22-Sep-21,"34,006.87","34,440.42","34,006.87","34,258.32","34,258.32","296,590,000"
23-Sep-21,"34,296.30","34,879.78","34,296.30","34,764.82","34,764.82","283,890,000"
24-Sep-21,"34,762.31","34,857.06","34,648.08","34,798.00","34,798.00","254,310,000"
27-Sep-21,"34,739.27","35,061.12","34,739.27","34,869.37","34,869.37","289,480,000"
28-Sep-21,"34,747.70","34,798.21","34,254.65","34,299.99","34,299.99","379,020,000"
29-Sep-21,"34,360.08","34,580.42","34,305.96","34,390.72","34,390.72","290,350,000"
30-Sep-21,"34,467.98","34,557.37","33,833.32","33,843.92","33,843.92","354,830,000"
1-Oct-21,"33,930.70","34,490.56","33,785.54","34,326.46","34,326.46","427,580,000"
4-Oct-21,"34,312.96","34,410.28","33,821.58","34,002.92","34,002.92","396,860,000"
5-Oct-21,"34,035.25","34,490.95","34,035.25","34,314.67","34,314.67","311,520,000"
6-Oct-21,"34,198.96","34,432.68","33,854.69","34,416.99","34,416.99","322,170,000"
7-Oct-21,"34,509.72","34,975.19","34,509.72","34,754.94","34,754.94","273,290,000"
8-Oct-21,"34,757.57","34,842.62","34,661.95","34,746.25","34,746.25","238,080,000"
11-Oct-21,"34,723.79","34,951.35","34,486.51","34,496.06","34,496.06","256,820,000"
12-Oct-21,"34,507.15","34,611.24","34,318.94","34,378.34","34,378.34","319,010,000"
13-Oct-21,"34,372.71","34,449.83","34,115.10","34,377.81","34,377.81","316,220,000"
14-Oct-21,"34,443.22","34,923.83","34,443.22","34,912.56","34,912.56","338,540,000"
15-Oct-21,"35,023.63","35,320.97","35,023.63","35,294.76","35,294.76","327,870,000"
18-Oct-21,"35,221.02","35,327.57","35,035.94","35,258.61","35,258.61","312,640,000"
19-Oct-21,"35,325.37","35,462.68","35,290.12","35,457.31","35,457.31","278,510,000"
20-Oct-21,"35,475.16","35,669.69","35,465.71","35,609.34","35,609.34","265,750,000"
21-Oct-21,"35,520.32","35,612.36","35,442.53","35,603.08","35,603.08","298,390,000"
22-Oct-21,"35,607.72","35,765.02","35,533.95","35,677.02","35,677.02","346,290,000"
25-Oct-21,"35,692.62","35,787.04","35,629.37","35,741.15","35,741.15","267,220,000"
26-Oct-21,"35,791.05","35,892.92","35,734.73","35,756.88","35,756.88","321,910,000"
27-Oct-21,"35,835.43","35,835.43","35,490.43","35,490.69","35,490.69","354,180,000"
28-Oct-21,"35,545.41","35,742.25","35,545.41","35,730.48","35,730.48","337,400,000"
29-Oct-21,"35,712.28","35,852.53","35,633.20","35,819.56","35,819.56","399,400,000"
1-Nov-21,"35,833.65","36,009.74","35,797.97","35,913.84","35,913.84","292,880,000"
2-Nov-21,"35,935.11","36,088.81","35,884.13","36,052.63","36,052.63","304,510,000"
3-Nov-21,"36,059.09","36,178.51","35,891.73","36,157.58","36,157.58","262,540,000"
4-Nov-21,"36,107.46","36,168.03","35,986.48","36,124.23","36,124.23","307,640,000"
5-Nov-21,"36,268.75","36,484.75","36,190.20","36,327.95","36,327.95","344,600,000"
8-Nov-21,"36,416.46","36,565.73","36,334.42","36,432.22","36,432.22","284,400,000"
9-Nov-21,"36,404.53","36,416.98","36,173.07","36,319.98","36,319.98","258,020,000"
10-Nov-21,"36,299.25","36,346.61","36,009.50","36,079.94","36,079.94","278,390,000"
11-Nov-21,"36,038.78","36,108.17","35,915.27","35,921.23","35,921.23","270,320,000"
12-Nov-21,"35,963.78","36,147.63","35,934.59","36,100.31","36,100.31","293,180,000"
15-Nov-21,"36,128.83","36,236.07","36,031.78","36,087.45","36,087.45","280,660,000"
16-Nov-21,"36,076.18","36,316.61","36,076.18","36,142.22","36,142.22","308,290,000"
17-Nov-21,"36,159.70","36,159.70","35,909.48","35,931.05","35,931.05","358,310,000"
18-Nov-21,"35,901.69","35,952.63","35,654.39","35,870.95","35,870.95","435,080,000"
19-Nov-21,"35,879.09","35,879.09","35,555.37","35,601.98","35,601.98","408,840,000"
22-Nov-21,"35,631.41","35,929.66","35,615.55","35,619.25","35,619.25","420,810,000"
23-Nov-21,"35,619.92","35,841.52","35,542.87","35,813.80","35,813.80","392,520,000"
24-Nov-21,"35,752.31","35,825.47","35,591.03","35,804.38","35,804.38","280,960,000"
26-Nov-21,"35,366.69","35,366.69","34,749.80","34,899.34","34,899.34","324,580,000"
29-Nov-21,"35,017.71","35,287.91","34,895.89","35,135.94","35,135.94","416,040,000"
30-Nov-21,"35,056.99","35,056.99","34,424.44","34,483.72","34,483.72","678,800,000"
1-Dec-21,"34,678.94","35,004.64","34,006.98","34,022.04","34,022.04","496,000,000"
2-Dec-21,"34,076.25","34,759.65","34,076.25","34,639.79","34,639.79","466,900,000"
3-Dec-21,"34,692.78","34,801.31","34,264.57","34,580.08","34,580.08","439,550,000"
6-Dec-21,"34,633.43","35,356.75","34,633.43","35,227.03","35,227.03","416,720,000"
7-Dec-21,"35,423.99","35,819.47","35,423.99","35,719.43","35,719.43","474,940,000"
8-Dec-21,"35,716.85","35,840.52","35,602.65","35,754.75","35,754.75","387,650,000"
9-Dec-21,"35,722.26","35,864.24","35,577.14","35,754.69","35,754.69","353,020,000"
10-Dec-21,"35,830.55","35,982.69","35,710.43","35,970.99","35,970.99","361,200,000"
13-Dec-21,"35,958.93","35,958.93","35,609.53","35,650.95","35,650.95","441,110,000"
14-Dec-21,"35,605.73","35,779.47","35,441.74","35,544.18","35,544.18","440,900,000"
15-Dec-21,"35,549.35","35,943.84","35,389.30","35,927.43","35,927.43","424,720,000"
