,tweet,date,id,location,id_user,score,Country,Country_real,Compound
925,"RT @aravosis: Elon Musk’s problem is that while he’s successfully cultivating a MAGA/neo-Nazi fanbase on Twitter, he’s just lost 60% of the…",2022-12-11 23:59:29+00:00,1602090727831490560,,1348672208311345153,"{'neg': 0.191, 'neu': 0.687, 'pos': 0.122, 'compound': -0.2023}",,,-0.2023
926,@elonmusk https://t.co/eXyg6SjeQF,2022-12-11 23:59:29+00:00,1602090725860167680,"Hoboken, NJ",1328543007990292480,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Hoboken NJ,United States,0.0
927,#TESLAfiles $TESLA https://t.co/VOh8DAkl0Z,2022-12-11 23:59:28+00:00,1602090722911350784,,1506316963168997383,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
928,"RT @BriannaWu: Friendly reminder that objectively, Elon Musk is a serial liar and there is no reason to believe anything from the #TeslaSem…",2022-12-11 23:59:27+00:00,1602090721116360707,,1048530829775970305,"{'neg': 0.199, 'neu': 0.686, 'pos': 0.116, 'compound': -0.3182}",,,-0.3182
929,"RT @pwittaya: เบื้องหลังTesla จาก Headlightmag
-เดิมจะลงทุนในอินเดียแต่ขอรัฐบาลซับซิไดซ์ไม่ได้เลยยกเลิกเปลี่ยนแผนมาลงบ้านเราเร็วกว่ากำหนด
-…",2022-12-11 23:59:27+00:00,1602090720785223680,,704884687,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
930,"RT @FonsDK: Best-Selling Premium SUVs in China

In November, the Tesla Model Y sold &gt;4x the units of the BMW X3—which was the 2nd best-sell…",2022-12-11 23:59:27+00:00,1602090720739069952,,1310097386853691394,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
931,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:25+00:00,1602090711804936192,,3013952749,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
932,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:25+00:00,1602090710185934854,,831965430877143040,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
933,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:22+00:00,1602090699725438976,,1199410909363474433,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
934,@elonmusk Slowly switching from FB to @Twitter . Would switch from old ford to @Tesla too but currently out of rang… https://t.co/3ViWBIOMqk,2022-12-11 23:59:18+00:00,1602090680880431104,Poland,472268288,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Poland,Polska,0.0
